Sex	SexID	Weight	Height
Male	0	275	70
Male	0	165	67
Male	0	217	72
Male	0	205	73
Male	0	150	73
Male	0	175	70
Female	1	122	68
Female	1	121	61
Female	1	170	67
Male	0	165	75
Male	0	143	68
Female	1	115	63
Male	0	260	71
Male	0	170	74
Male	0	140	66
Male	0	129	74
Female	1	111	63
Male	0	114	67
Male	0	158	68
Female	1	196	64
Female	1	117	64
Male	0	148	67
Female	1	100	59
Female	1	97	63
Male	0	160	70
Female	1	130	65
Male	0	145	67
Male	0	116	68
Female	1	153	64
Female	1	140	71
Female	1	135	62
Male	0	175	72
Female	1	132	66
Female	1	128	62
Male	0	145	70
Female	1	180	68
Female	1	145	64
